,ItemTable/Key,,ItemTable/Key,,ItemTable/Key,,ItemTable/Key,,ItemTable/Key,
키,드랍아이템1,아이템1확률(mil),드랍아이템2,아이템2확률(mil),드랍아이템3,아이템3확률(mil),드랍아이템4,아이템4확률(mil),드랍아이템5,아이템5확률(mil)
string,string,int,string,int,string,int,string,int,string,int
key,item1,item1chance,item2,item2chance,item3,item3chance,item4,item4chance,item5,item5chance
DROP_TREE_0,ITEM_TREE_CHOPPED_0,1000,null,null,null,null,null,null,null,null
DROP_TREE_1,ITEM_TREE_CHOPPED_1,1000,null,null,null,null,null,null,null,null
DROP_TREE_2,ITEM_TREE_CHOPPED_2,1000,null,null,null,null,null,null,null,null
DROP_TREE_3,ITEM_TREE_CHOPPED_3,1000,null,null,null,null,null,null,null,null
DROP_TREE_4,ITEM_TREE_CHOPPED_4,1000,null,null,null,null,null,null,null,null
DROP_TREE_5,ITEM_TREE_CHOPPED_5,1000,null,null,null,null,null,null,null,null
DROP_TREE_6,ITEM_TREE_CHOPPED_6,1000,null,null,null,null,null,null,null,null
DROP_TREE_7,ITEM_TREE_CHOPPED_7,1000,null,null,null,null,null,null,null,null
DROP_TREE_8,ITEM_TREE_CHOPPED_8,1000,null,null,null,null,null,null,null,null
DROP_TREE_9,ITEM_TREE_CHOPPED_9,1000,null,null,null,null,null,null,null,null
DROP_TREE_10,ITEM_TREE_CHOPPED_10,1000,null,null,null,null,null,null,null,null
DROP_TREE_11,ITEM_TREE_CHOPPED_11,1000,null,null,null,null,null,null,null,null
